Texte;Label enrichi;Norme / Référence
Les droits d’accès sont revus tous les 6 mois.;Conforme – Bonnes pratiques;ISO 27001 A.9.2.5 / NIST AC-2 j / COBIT DSS05
Aucune revue des droits depuis 18 mois.;Non conforme – Absence de contrôle;ISO 27001 A.9.2.5 / SOX 404
La revue des droits est effectuée de manière irrégulière (environ tous les 14 mois).;Partiellement conforme – Contrôle insuffisamment fréquent;ISO 27001 A.9.2.5
Les revues d’accès sont tracées et approuvées par un responsable.;Conforme – Contrôle documenté et validé;ISO 27001 A.9.2.6 / COBIT BAI08
Les revues d’accès ne sont pas documentées.;Non conforme – Absence de traçabilité;ISO 27001 A.12.4.1
Des comptes utilisateurs restent actifs plus de 7 jours après le départ.;Non conforme – Risque de comptes orphelins;ISO 27001 A.9.2.6 / NIST AC-2 g
Les comptes des collaborateurs partants sont désactivés immédiatement.;Conforme – Processus réactif;ISO 27001 A.9.2.6 / SOX 404
Le processus de départ prévoit la révocation sous 72h.;Partiellement conforme – Délai trop long;ISO 27001 A.9.2.6
La création de comptes utilisateurs est validée par un responsable hiérarchique.;Conforme – Contrôle d’approbation en place;ISO 27001 A.9.2.1 / NIST AC-2 b
Des comptes sont créés sans approbation formelle.;Non conforme – Absence d’autorisation;ISO 27001 A.9.2.1
Les comptes administrateurs sont nominatifs et limités.;Conforme – Principe du moindre privilège respecté;ISO 27001 A.9.2.3 / NIST AC-6
Un compte administrateur générique est utilisé par plusieurs personnes.;Non conforme – Absence de responsabilité individuelle;ISO 27001 A.9.2.3
L’attribution des droits suit le principe du moindre privilège.;Conforme – Contrôle granulaire;ISO 27001 A.9.1.2 / NIST AC-6
Certains utilisateurs disposent de droits supérieurs à leurs besoins.;Partiellement conforme – Excès de privilèges;ISO 27001 A.9.1.2
Une séparation stricte des tâches existe entre utilisateurs métiers et administrateurs.;Conforme – Ségrégation efficace;ISO 27001 A.6.1.2 / COBIT DSS06
Le même utilisateur peut développer et mettre en production.;Non conforme – Absence de séparation des tâches;ISO 27001 A.6.1.2
Une MFA (authentification multi-facteurs) est obligatoire pour les accès sensibles.;Conforme – Sécurité renforcée;ISO 27001 A.9.4.2 / NIST IA-2
Seul le mot de passe protège les accès administrateurs.;Partiellement conforme – Authentification faible;ISO 27001 A.9.4.2
Aucune authentification forte n’est mise en place.;Non conforme – Risque critique;ISO 27001 A.9.4.2 / NIST IA-2
Les mots de passe sont stockés hachés et salés.;Conforme – Bonnes pratiques de stockage;ISO 27001 A.10.1 / NIST IA-5 c
Les mots de passe sont stockés en clair dans la base.;Non conforme – Failles majeures;ISO 27001 A.10.1
La politique impose un changement de mot de passe tous les 12 mois.;Partiellement conforme – Politique faible;NIST IA-5 / ISO 27001 A.9.4.3
Les mots de passe doivent être changés tous les 90 jours.;Conforme – Bonnes pratiques (classiques);ISO 27001 A.9.4.3
Aucun changement de mot de passe n’est imposé.;Non conforme – Absence de politique;ISO 27001 A.9.4.3
Les tentatives d’accès sont limitées à 5 échecs avant blocage.;Conforme – Contrôle de verrouillage en place;ISO 27001 A.9.4.3 / NIST AC-7
Les sessions inactives sont automatiquement déconnectées après 15 minutes.;Conforme – Bonnes pratiques de session;ISO 27001 A.9.4.2
Les sessions restent ouvertes indéfiniment si non fermées manuellement.;Non conforme – Risque de session persistante;ISO 27001 A.9.4.2
Un processus de recertification des accès administrateurs est réalisé annuellement.;Conforme – Bonnes pratiques de gouvernance;ISO 27001 A.9.2.5 / NIST AC-2 j
Les recertifications ne couvrent que les utilisateurs métiers, les comptes à privilèges sont exclus.;Partiellement conforme – Périmètre incomplet;ISO 27001 A.9.2.5 / COBIT DSS05
Aucun suivi des comptes génériques n’est effectué.;Non conforme – Absence de responsabilité;ISO 27001 A.9.2.3 / NIST AC-2
Un registre central des accès est maintenu et mis à jour en temps réel.;Conforme – Traçabilité assurée;ISO 27001 A.9.2.6 / COBIT DSS05
Les demandes d’accès sont parfois validées oralement, sans trace écrite.;Partiellement conforme – Validation non tracée;ISO 27001 A.9.2.1 / SOX 404
Des comptes techniques disposent de droits excessifs par rapport à leur usage.;Non conforme – Excès de privilèges;ISO 27001 A.9.2.3 / NIST AC-6
Les droits des prestataires externes sont révoqués à la fin du contrat.;Conforme – Contrôle appliqué;ISO 27001 A.9.2.6 / COBIT DSS05
Les droits des prestataires restent actifs après leur départ.;Non conforme – Risque d’accès non autorisé;ISO 27001 A.9.2.6 / NIST AC-2 g
Un contrôle d’accès physique et logique combiné est exigé pour les administrateurs systèmes.;Conforme – Défense en profondeur;ISO 27001 A.11.1.1 / NIST PE-3
Les identifiants par défaut des applications ne sont pas modifiés à l’installation.;Non conforme – Vulnérabilité connue;ISO 27001 A.9.2.4 / NIST IA-5 f
Un processus d’accès temporaire est en place pour les interventions d’urgence, avec journalisation.;Conforme – Contrôle compensatoire;ISO 27001 A.9.2.6 / NIST AC-2 d
Les accès temporaires d’urgence ne sont pas supprimés après usage.;Non conforme – Risque d’escalade de privilèges;ISO 27001 A.9.2.6 / NIST AC-2 d
Un processus d’examen semestriel des accès aux applications critiques est documenté et validé.;Conforme – Bonnes pratiques de revue;ISO 27001 A.9.2.5 / SOX 404
Les comptes inactifs depuis plus de 90 jours sont automatiquement désactivés.;Conforme – Contrôle préventif;ISO 27001 A.9.2.6 / NIST AC-2 h
Aucun mécanisme n’existe pour détecter les comptes inactifs.;Non conforme – Risque de compromission;ISO 27001 A.9.2.6 / NIST AC-2 h
Les recertifications d’accès sont effectuées mais seulement tous les deux ans.;Partiellement conforme – Fréquence insuffisante;ISO 27001 A.9.2.5 / NIST AC-2 j
Les comptes utilisateurs sont désactivés après départ, mais avec un délai pouvant aller jusqu’à 15 jours.;Partiellement conforme – Désactivation trop tardive;ISO 27001 A.9.2.6 / SOX 404
Une authentification multi-facteurs est en place, mais uniquement pour les administrateurs.;Partiellement conforme – Périmètre limité;ISO 27001 A.9.4.2 / NIST IA-2
Les mots de passe sont complexes mais la longueur minimale reste inférieure aux recommandations.;Partiellement conforme – Politique affaiblie;ISO 27001 A.9.4.3 / NIST IA-5
Les journaux d’accès sont activés mais ne couvrent pas l’ensemble des systèmes critiques.;Partiellement conforme – Journalisation partielle;ISO 27001 A.12.4.1 / COBIT DSS05
La séparation des tâches est en place mais certaines exceptions ne sont pas revues régulièrement.;Partiellement conforme – Contrôle non maintenu;ISO 27001 A.6.1.2 / COBIT DSS06
Un processus de revue des droits existe mais les résultats ne sont pas systématiquement approuvés par un responsable.;Partiellement conforme – Gouvernance incomplète;ISO 27001 A.9.2.5 / COBIT BAI08
Les sessions inactives sont coupées après 60 minutes au lieu des 15 minutes recommandées.;Partiellement conforme – Paramétrage trop permissif;ISO 27001 A.9.4.2 / NIST AC-12
Un registre central des accès existe mais il est mis à jour manuellement, entraînant des retards.;Partiellement conforme – Fiabilité réduite;ISO 27001 A.9.2.6 / COBIT DSS05
Les comptes génériques sont limités mais encore utilisés pour certains scripts techniques.;Partiellement conforme – Risque résiduel;ISO 27001 A.9.2.3 / NIST AC-2
Un processus d’accès temporaire est défini mais les comptes d’urgence ne sont pas toujours fermés immédiatement après usage.;Partiellement conforme – Risque d’accès résiduel;ISO 27001 A.9.2.6 / NIST AC-2 d
Les droits d’accès à une application critique n’ont jamais été revus depuis plus de deux ans.;Non conforme – Absence de recertification;ISO 27001 A.9.2.5 / NIST AC-2 j
Des comptes d’utilisateurs supprimés dans l’AD restent actifs dans l’application métier.;Non conforme – Déprovisionnement incomplet;ISO 27001 A.9.2.6 / COBIT DSS05
Les comptes génériques sont partagés sans journalisation des usages.;Non conforme – Manque de traçabilité individuelle;ISO 27001 A.9.2.3 / NIST AC-2
Les accès VPN de prestataires expirés restent valides.;Non conforme – Accès tiers non révoqués;ISO 27001 A.9.2.6 / NIST AC-2 g
Les demandes d’accès sont accordées sans approbation hiérarchique formelle.;Non conforme – Autorisation absente;ISO 27001 A.9.2.1 / SOX 404
Aucun contrôle de verrouillage de compte après échecs répétés n’est configuré.;Non conforme – Risque force brute;ISO 27001 A.9.4.3 / NIST AC-7
La MFA n’est pas activée pour les accès administrateurs distants.;Non conforme – Authentification insuffisante;ISO 27001 A.9.4.2 / NIST IA-2
Des comptes inactifs (≥ 180 jours) ne sont pas automatiquement désactivés.;Non conforme – Contrôle d’inactivité absent;ISO 27001 A.9.2.6 / NIST AC-2 h
Des droits élevés sont attribués par défaut lors de la création des comptes.;Non conforme – Principe du moindre privilège non respecté;ISO 27001 A.9.1.2 / NIST AC-6
Les comptes d’urgence (break-glass) ne sont pas revus ni scellés après utilisation.;Non conforme – Contrôle d’accès temporaire défaillant;ISO 27001 A.9.2.6 / NIST AC-2 d
Les identifiants par défaut des appliances sécurité n’ont pas été changés.;Non conforme – Identifiants par défaut actifs;ISO 27001 A.9.2.4 / NIST IA-5 f
Aucun registre central des habilitations n’est maintenu.;Non conforme – Inventaire des accès manquant;ISO 27001 A.9.2.6 / COBIT DSS05
Les accès des comptes techniques permettent une connexion interactive.;Non conforme – Usage non restreint des comptes techniques;ISO 27001 A.9.2.3 / NIST AC-6
Les mouvements internes (changement de poste) ne déclenchent pas de revue des droits.;Non conforme – Processus Mover absent;ISO 27001 A.9.2.5 / COBIT DSS05
Les revues d’accès sont effectuées mais seulement pour deux applications sur cinq.;Partiellement conforme – Couverture incomplète;ISO 27001 A.9.2.5 / COBIT DSS05
La désactivation des comptes après départ intervient sous 7 jours ouvrés.;Partiellement conforme – Délai de révocation trop long;ISO 27001 A.9.2.6 / SOX 404
La MFA est déployée pour les administrateurs mais pas pour les utilisateurs à privilèges applicatifs.;Partiellement conforme – Périmètre restreint;ISO 27001 A.9.4.2 / NIST IA-2
Les demandes d’accès sont tracées par e-mail mais sans outil dédié ni piste d’audit consolidée.;Partiellement conforme – Traçabilité fragile;ISO 27001 A.9.2.1 / SOX 404
Les comptes inactifs sont désactivés après 120 jours au lieu de 90.;Partiellement conforme – Seuil d’inactivité élevé;ISO 27001 A.9.2.6 / NIST AC-2 h
Les comptes de prestataires restent actifs plusieurs mois après la fin de leur mission.;Non conforme – Risque de comptes orphelins;ISO 27001 A.9.2.6 / NIST AC-2 g
Des utilisateurs partagent leurs identifiants pour accéder à une application critique.;Non conforme – Partage d’identifiants;ISO 27001 A.9.2.3 / NIST IA-2
Aucun contrôle périodique n’est réalisé sur les droits à privilèges élevés.;Non conforme – Absence de revue des comptes sensibles;ISO 27001 A.9.2.5 / SOX 404
La suppression des accès est effectuée mais parfois avec plusieurs semaines de retard.;Partiellement conforme – Révocation tardive;ISO 27001 A.9.2.6
Les demandes d’accès ne sont pas toutes tracées dans un outil centralisé.;Partiellement conforme – Absence de traçabilité complète;ISO 27001 A.9.2.1
Un administrateur a des droits étendus sur toutes les applications sans justification.;Non conforme – Excès de privilèges;ISO 27001 A.9.1.2 / NIST AC-6
Les logs d’accès sont activés mais ne sont jamais revus.;Partiellement conforme – Contrôle non effectif;ISO 27001 A.12.4.1
Les comptes inactifs sont identifiés mais désactivés manuellement, avec des délais variables.;Partiellement conforme – Procédure non automatisée;ISO 27001 A.9.2.6
Plusieurs comptes techniques ont des mots de passe identiques partagés entre équipes.;Non conforme – Risque de compromission;ISO 27001 A.9.2.3 / NIST IA-5
Les utilisateurs peuvent conserver des droits d’accès après un changement de poste.;Non conforme – Absence de mise à jour des habilitations;ISO 27001 A.9.2.5
Les comptes administrateurs sont attribués uniquement sur justification validée.;Conforme – Contrôle d’attribution;ISO 27001 A.9.2.3 / NIST AC-6
Les demandes d’accès sont traitées via un outil de ticketing avec approbation managériale.;Conforme – Processus formalisé;ISO 27001 A.9.2.1 / SOX 404
Les droits d’accès sont recertifiés tous les 12 mois et validés par les managers.;Conforme – Revue périodique documentée;ISO 27001 A.9.2.5 / COBIT DSS05
La révocation des droits est immédiate en cas de départ.;Conforme – Désactivation réactive;ISO 27001 A.9.2.6
Un registre central des habilitations est mis à jour automatiquement.;Conforme – Traçabilité fiable;ISO 27001 A.9.2.6 / COBIT DSS05
La MFA est obligatoire pour tous les accès VPN.;Conforme – Sécurité renforcée;ISO 27001 A.9.4.2 / NIST IA-2
Les sessions inactives sont fermées après 10 minutes.;Conforme – Bonnes pratiques renforcées;ISO 27001 A.9.4.2 / NIST AC-12
Chaque création de compte est approuvée par le responsable hiérarchique.;Conforme – Contrôle d’accès en amont;ISO 27001 A.9.2.1
Les comptes génériques ont été supprimés au profit de comptes nominatifs.;Conforme – Responsabilité individuelle;ISO 27001 A.9.2.3
Les droits sont limités au strict nécessaire pour chaque poste.;Conforme – Principe du moindre privilège;ISO 27001 A.9.1.2 / NIST AC-6
Les comptes d’urgence sont activés temporairement et supprimés automatiquement.;Conforme – Contrôle temporaire;ISO 27001 A.9.2.6 / NIST AC-2 d
Les mots de passe sont stockés de façon sécurisée et vérifiés régulièrement.;Conforme – Bonnes pratiques de stockage;ISO 27001 A.10.1 / NIST IA-5 c
Les identifiants par défaut sont changés immédiatement après installation.;Conforme – Sécurité de base respectée;ISO 27001 A.9.2.4
Les prestataires disposent d’accès limités et tracés.;Conforme – Gestion des tiers maîtrisée;ISO 27001 A.9.2.6
Les revues d’accès aux applications critiques sont semestrielles.;Conforme – Gouvernance établie;ISO 27001 A.9.2.5 / SOX 404
Les accès inactifs de plus de 90 jours sont désactivés automatiquement.;Conforme – Contrôle préventif;ISO 27001 A.9.2.6 / NIST AC-2 h
L’attribution de privilèges est validée par un comité de sécurité.;Conforme – Gouvernance renforcée;ISO 27001 A.9.2.3 / COBIT DSS05
Les comptes utilisateurs sont créés sans validation formelle.;Non conforme – Absence d’autorisation;ISO 27001 A.9.2.1
Les comptes administrateurs partagent le même mot de passe.;Non conforme – Absence de responsabilité;ISO 27001 A.9.2.3 / NIST IA-5
Aucune recertification des accès n’a été effectuée depuis 3 ans.;Non conforme – Absence de contrôle;ISO 27001 A.9.2.5
Des comptes d’anciens prestataires restent actifs.;Non conforme – Risque tiers;ISO 27001 A.9.2.6
Les comptes d’urgence ne sont jamais révoqués après usage.;Non conforme – Contrôle absent;ISO 27001 A.9.2.6 / NIST AC-2 d
Aucun verrouillage de compte n’intervient après plusieurs échecs.;Non conforme – Risque d’attaque brute force;ISO 27001 A.9.4.3 / NIST AC-7
Des droits admin sont accordés par défaut aux nouveaux utilisateurs.;Non conforme – Excès de privilèges;ISO 27001 A.9.1.2
Les sessions restent ouvertes indéfiniment.;Non conforme – Risque de session persistante;ISO 27001 A.9.4.2
Les identifiants par défaut n’ont jamais été modifiés.;Non conforme – Vulnérabilité critique;ISO 27001 A.9.2.4
Aucune MFA n’est exigée pour les accès distants.;Non conforme – Contrôle absent;ISO 27001 A.9.4.2
Des comptes inactifs depuis 1 an restent utilisables.;Non conforme – Risque d’usurpation;ISO 27001 A.9.2.6
Aucun registre des habilitations n’est maintenu.;Non conforme – Absence de traçabilité;ISO 27001 A.9.2.6
Les comptes techniques permettent une connexion interactive.;Non conforme – Risque de compromission;ISO 27001 A.9.2.3
Les demandes d’accès sont parfois orales et non tracées.;Non conforme – Absence de justification;ISO 27001 A.9.2.1
Les recertifications ne couvrent que certaines applications.;Partiellement conforme – Couverture incomplète;ISO 27001 A.9.2.5
La désactivation des comptes après départ se fait sous 10 jours.;Partiellement conforme – Révocation tardive;ISO 27001 A.9.2.6
La MFA n’est activée que pour les administrateurs systèmes.;Partiellement conforme – Périmètre limité;ISO 27001 A.9.4.2
Les mots de passe sont robustes mais expirent tous les 12 mois.;Partiellement conforme – Politique insuffisante;ISO 27001 A.9.4.3
Les logs d’accès sont conservés mais jamais analysés.;Partiellement conforme – Contrôle inefficace;ISO 27001 A.12.4.1
La séparation des tâches existe mais avec des dérogations non revues.;Partiellement conforme – Ségrégation affaiblie;ISO 27001 A.6.1.2
Les droits sont revus mais uniquement pour 3 applications critiques.;Partiellement conforme – Revue partielle;ISO 27001 A.9.2.5
Les comptes inactifs sont désactivés après 150 jours.;Partiellement conforme – Seuil trop élevé;ISO 27001 A.9.2.6
Les demandes d’accès sont tracées mais seulement par e-mail.;Partiellement conforme – Traçabilité fragile;ISO 27001 A.9.2.1
Les mots de passe sont hachés mais sans sel.;Partiellement conforme – Stockage affaibli;ISO 27001 A.10.1
Les sessions inactives se ferment après 45 minutes.;Partiellement conforme – Paramétrage laxiste;ISO 27001 A.9.4.2
Les comptes techniques sont documentés mais non limités.;Partiellement conforme – Gouvernance incomplète;ISO 27001 A.9.2.3
La suppression des accès est effectuée mais parfois après plusieurs jours.;Partiellement conforme – Révocation lente;ISO 27001 A.9.2.6
Les recertifications sont faites annuellement mais sans validation managériale.;Partiellement conforme – Gouvernance incomplète;ISO 27001 A.9.2.5
Les comptes d’urgence sont supprimés manuellement, parfois avec délai.;Partiellement conforme – Révocation imparfaite;ISO 27001 A.9.2.6
Les accès des prestataires sont révoqués mais pas toujours à la date de fin du contrat.;Partiellement conforme – Processus incomplet;ISO 27001 A.9.2.6
Chaque accès à privilèges est revu tous les 6 mois par le responsable sécurité.;Conforme – Gouvernance renforcée;ISO 27001 A.9.2.5 / NIST AC-2 j
Les droits d’accès sont automatiquement synchronisés avec les mouvements RH.;Conforme – Processus automatisé;ISO 27001 A.9.2.6 / COBIT DSS05
Les comptes d’urgence nécessitent une approbation préalable avant activation.;Conforme – Contrôle d’activation;ISO 27001 A.9.2.6 / NIST AC-2 d
Les utilisateurs reçoivent des droits temporaires limités dans le temps.;Conforme – Contrôle compensatoire;ISO 27001 A.9.2.6
Les identifiants de connexion sont strictement personnels et non partageables.;Conforme – Responsabilité individuelle;ISO 27001 A.9.2.3
Un audit interne annuel vérifie la conformité des droits attribués.;Conforme – Vérification indépendante;ISO 27001 A.18.2.3
Les comptes génériques sont remplacés par des comptes de service tracés.;Conforme – Gouvernance technique;ISO 27001 A.9.2.3
La MFA est utilisée pour tous les accès à distance, y compris les utilisateurs métiers.;Conforme – Authentification renforcée;ISO 27001 A.9.4.2 / NIST IA-2
Les mots de passe sont changés tous les 90 jours avec complexité obligatoire.;Conforme – Politique robuste;ISO 27001 A.9.4.3 / NIST IA-5
Les sessions utilisateurs expirent après 20 minutes d’inactivité.;Conforme – Paramétrage de sécurité;ISO 27001 A.9.4.2
Les accès des sous-traitants sont gérés par des comptes temporaires expirants.;Conforme – Contrôle des tiers;ISO 27001 A.9.2.6
Les demandes d’accès doivent être validées par le responsable métier.;Conforme – Processus d’approbation;ISO 27001 A.9.2.1 / SOX 404
Les droits des utilisateurs sont adaptés automatiquement lors d’un changement de poste.;Conforme – Gouvernance RH intégrée;ISO 27001 A.9.2.5
Tous les comptes administrateurs sont individuels et surveillés.;Conforme – Responsabilité et traçabilité;ISO 27001 A.9.2.3
Un contrôle semestriel vérifie la désactivation des comptes inactifs.;Conforme – Bonnes pratiques de suivi;ISO 27001 A.9.2.6
Les registres d’habilitations sont exportés et signés par le RSSI.;Conforme – Gouvernance documentaire;ISO 27001 A.9.2.6
Les revues des droits ne sont effectuées que pour certaines applications métiers.;Partiellement conforme – Couverture incomplète;ISO 27001 A.9.2.5
Les demandes d’accès sont validées mais sans traçabilité systématique.;Partiellement conforme – Processus fragile;ISO 27001 A.9.2.1
Les comptes inactifs sont désactivés après 6 mois.;Partiellement conforme – Seuil trop long;ISO 27001 A.9.2.6 / NIST AC-2 h
La MFA est activée pour le VPN mais pas pour les consoles d’administration.;Partiellement conforme – Sécurité incomplète;ISO 27001 A.9.4.2
Les mots de passe sont complexes mais ne changent qu’une fois par an.;Partiellement conforme – Politique insuffisante;ISO 27001 A.9.4.3
La suppression des accès est faite mais manuellement et avec retard.;Partiellement conforme – Révocation tardive;ISO 27001 A.9.2.6
Les sessions sont déconnectées après 45 minutes au lieu de 15.;Partiellement conforme – Paramétrage laxiste;ISO 27001 A.9.4.2
Les comptes techniques sont tracés mais partagés par plusieurs équipes.;Partiellement conforme – Gouvernance insuffisante;ISO 27001 A.9.2.3
Les registres des habilitations sont mis à jour trimestriellement seulement.;Partiellement conforme – Suivi non temps réel;ISO 27001 A.9.2.6
Les revues de droits existent mais sans validation hiérarchique.;Partiellement conforme – Gouvernance partielle;ISO 27001 A.9.2.5
Les comptes d’urgence sont créés avec approbation mais désactivés avec délai.;Partiellement conforme – Révocation imparfaite;ISO 27001 A.9.2.6
Les comptes prestataires expirent mais la procédure n’est pas toujours appliquée.;Partiellement conforme – Contrôle incomplet;ISO 27001 A.9.2.6
Les logs d’accès sont activés mais analysés seulement en cas d’incident.;Partiellement conforme – Contrôle réactif;ISO 27001 A.12.4.1
Les demandes d’accès sont saisies dans un outil mais parfois sans validation managériale.;Partiellement conforme – Processus incomplet;ISO 27001 A.9.2.1
Les droits sont accordés sans aucune validation.;Non conforme – Autorisation absente;ISO 27001 A.9.2.1
Les comptes d’anciens collaborateurs sont encore actifs dans plusieurs applications.;Non conforme – Risque d’usurpation;ISO 27001 A.9.2.6
Les administrateurs utilisent un compte unique partagé.;Non conforme – Absence de responsabilité;ISO 27001 A.9.2.3
Aucun mécanisme de verrouillage n’est activé après 10 tentatives.;Non conforme – Risque de brute force;ISO 27001 A.9.4.3 / NIST AC-7
Les droits à privilèges sont attribués sans justification.;Non conforme – Absence de contrôle;ISO 27001 A.9.1.2
Les recertifications ne sont jamais réalisées.;Non conforme – Absence de revue;ISO 27001 A.9.2.5
Les comptes techniques permettent des accès interactifs.;Non conforme – Risque de compromission;ISO 27001 A.9.2.3
Les prestataires externes conservent leurs accès après la fin du contrat.;Non conforme – Risque d’accès non autorisé;ISO 27001 A.9.2.6
Aucun suivi n’est effectué sur les comptes génériques.;Non conforme – Absence de gouvernance;ISO 27001 A.9.2.3
Les sessions restent ouvertes tant que l’utilisateur ne se déconnecte pas manuellement.;Non conforme – Absence de sécurité de session;ISO 27001 A.9.4.2
Les mots de passe sont enregistrés en clair dans certaines applications.;Non conforme – Failles de sécurité;ISO 27001 A.10.1
Les identifiants par défaut des bases de données sont encore actifs.;Non conforme – Vulnérabilité critique;ISO 27001 A.9.2.4
Les accès aux applications critiques sont accordés sans piste d’audit.;Non conforme – Absence de traçabilité;ISO 27001 A.9.2.6
Les comptes inactifs depuis 12 mois ne sont pas supprimés.;Non conforme – Absence de contrôle;ISO 27001 A.9.2.6
Les droits des utilisateurs ne sont pas révoqués lors d’un changement de poste.;Non conforme – Risque d’excès de privilèges;ISO 27001 A.9.2.5
Les comptes d’urgence sont utilisés régulièrement sans justification.;Non conforme – Contrôle dévoyé;ISO 27001 A.9.2.6 / NIST AC-2 d
Les comptes utilisateurs sont créés uniquement via un workflow automatisé validé.;Conforme – Processus maîtrisé;ISO 27001 A.9.2.1 / COBIT DSS05
